userId,LIKE_0,DISLIKE_0,LIKE_1,DISLIKE_1,LIKE_2,DISLIKE_2,LIKE_3,DISLIKE_3,LIKE_4,DISLIKE_4,LIKE_5,DISLIKE_5,LIKE_6,DISLIKE_6,LIKE_7,DISLIKE_7,LIKE_8,DISLIKE_8,LIKE_9,DISLIKE_9,LIKE_10,DISLIKE_10,LIKE_11,DISLIKE_11,LIKE_12,DISLIKE_12,LIKE_13,DISLIKE_13,LIKE_14,DISLIKE_14,LIKE_15,DISLIKE_15,LIKE_16,DISLIKE_16,LIKE_17,DISLIKE_17,LIKE_18,DISLIKE_18,LIKE_19,DISLIKE_19
1,1920,239,2177,1920,848,2257,2257,2470,936,3044,239,3173,2241,1962,1592,2302,2111,1463,2885,1949,2302,349,1616,1010,2470,2371,274,936,349,2847,2715,1616,1853,2241,325,2175,3044,2285,1463,2177
2,936,1010,3482,1949,325,936,118,615,2302,1853,615,2302,349,848,2717,325,1949,2885,2177,349,2175,3482,1006,2371,2344,118,3391,2175,2111,3173,2885,3180,682,2618,1010,2111,320,3391,1853,301
3,615,615,3482,1853,274,1010,3117,3117,2177,2398,503,274,936,2654,1853,3482,2302,2717,2175,1439,2885,320,2410,936,1920,1560,2111,2371,118,503,2398,3173,3173,2175,1010,894,421,3091,971,2344
4,615,615,1853,1853,3482,3482,1010,274,274,1010,2111,3117,2177,2717,2410,3448,3117,2398,503,3546,2302,118,349,320,894,2654,3044,3066,3546,2177,1920,1350,936,3091,2344,2445,118,992,2715,2175
5,1949,1949,325,349,349,1010,2885,2371,1010,615,2302,3482,3482,1853,936,325,1853,3296,1754,748,2177,3173,682,936,748,3180,615,610,118,2175,2410,2302,2618,796,2111,289,2695,894,213,3448
6,349,2885,2177,578,2302,3069,2618,1678,3391,1006,289,1949,3482,2648,2695,2302,1920,3439,2885,3391,2410,2642,325,3044,1949,246,118,118,936,181,3120,1447,2175,1452,2111,3294,2836,579,3330,491
7,3391,1949,349,615,1949,503,2302,213,2175,894,936,2654,748,748,1754,320,3482,421,118,3482,1920,2717,848,646,2257,84,1616,952,274,1010,3514,1401,2885,1444,2618,349,325,2432,1249,1563
8,1949,1949,3482,3482,748,349,615,615,325,2302,118,936,349,325,894,1920,2177,2111,3173,2885,1010,2618,1853,2177,936,118,503,2717,2618,627,421,289,2175,1350,420,2175,1006,2715,2302,3117
9,1949,1949,349,349,3482,2618,2618,2654,3180,118,1853,1010,2175,2177,2302,289,118,1853,325,3482,610,3173,615,2257,181,2302,2885,67,936,936,2177,181,3330,3391,2371,2175,67,518,894,2410
10,936,1949,3482,118,615,349,349,894,2302,2302,2177,748,1949,615,2717,3173,2885,1853,894,1010,3120,2717,2618,3180,503,2618,682,593,2410,3046,118,2344,3514,3482,1920,274,848,325,627,421
11,1920,1853,2410,2177,2175,2885,517,118,2715,3173,2371,371,682,421,214,562,2302,1010,349,349,2177,201,2642,3544,848,1768,3391,3044,3187,2695,1006,1121,936,748,3498,238,118,3391,1845,1969
12,1010,1949,349,1010,1853,1853,1949,3482,3482,3173,325,325,118,2371,2177,349,2885,2175,2302,118,936,615,2618,2885,274,610,796,421,3173,936,2410,848,2111,181,2371,2111,3391,274,2175,796
13,3482,615,2177,3117,615,3482,1853,1853,936,1010,274,274,1010,936,349,2654,682,3173,2410,2717,118,2344,2111,2398,325,118,971,2111,1920,503,503,2578,2717,627,2302,2175,3117,320,3448,2371
14,2177,995,274,2717,1853,2209,2885,2672,796,1859,936,1796,1010,1745,2111,2980,2241,1965,503,1095,2410,1120,14,1845,213,1853,615,1817,777,641,1920,2398,2715,3046,682,2590,2371,1039,826,1010
15,1010,615,325,3482,349,2717,2410,894,1853,1853,1949,2109,118,1146,777,2344,615,1949,3482,181,936,377,2177,2302,2302,349,2618,3173,2885,2618,274,2058,2836,748,503,2371,872,936,796,3117
16,2177,3372,2885,577,118,2878,349,543,2302,2344,3391,1402,936,1726,1006,67,3482,1039,615,2717,2715,2984,2410,2672,2642,2630,2717,3482,2175,118,1920,3183,325,2980,3120,2715,748,1213,2344,3514
17,1853,3482,2398,1853,615,274,3066,615,1010,67,2696,2816,3308,2398,2937,2410,2511,641,2445,2717,274,1010,641,3091,2654,682,3546,3046,3482,1849,3117,971,726,2696,626,610,1997,1745,1700,3066
18,3482,1949,615,3482,325,325,349,349,936,936,1949,615,118,2618,1010,2302,2177,118,748,1010,2111,2371,1853,1853,2302,2885,2717,3391,894,2177,2344,3180,2885,2410,274,2175,3173,503,2618,2111
19,2878,615,3482,1853,118,3482,2177,274,1726,1010,1920,2111,936,2717,274,936,2885,3117,641,118,3514,2175,349,848,615,641,3117,3173,2111,2885,3183,2177,2410,682,1708,2371,3137,2410,2344,320
20,349,1949,615,274,936,503,3482,2344,2177,1853,2302,610,1949,1010,3120,325,2717,2111,2618,2257,325,2654,118,2175,2344,3173,3180,2717,320,3366,3448,1601,181,1895,2111,2107,933,2810,2257,3046
21,2177,615,615,3482,274,421,3117,3448,3482,1853,2410,1010,2715,2654,2344,2398,2111,503,2717,3546,936,1350,2302,320,118,1528,1920,1560,2885,2578,3514,3117,971,3044,2241,2241,2175,1439,1853,274
22,1949,1010,615,54,748,1006,894,1949,503,877,3482,1563,325,1560,1447,1481,2175,2222,274,796,2302,215,1920,963,213,1374,349,3270,3180,1112,2885,693,3391,175,2654,2836,578,503,1010,777
23,1949,1949,2302,3173,2885,1010,3391,615,118,2371,3173,349,2618,118,325,325,349,894,1010,1853,3482,2885,2177,936,2175,3482,936,181,2257,1377,2410,3180,1853,2175,2371,420,274,1592,181,2717
24,615,1377,503,2371,936,1853,1853,1374,349,2717,3482,1444,1006,1825,3461,299,213,1987,2177,3124,2410,818,2175,1949,2885,274,2302,1,118,202,877,454,2715,1528,894,1370,1768,1684,862,639
25,1949,1949,2302,1010,615,3296,2885,615,936,1853,503,2371,748,2175,3482,503,2410,3173,118,894,213,213,894,325,349,777,3391,349,1616,2410,1920,748,3156,1006,2618,1592,2175,1754,2371,2302
26,503,1949,615,1010,2717,2717,2177,3482,894,615,349,1853,420,349,2302,936,3482,2302,936,2111,1543,325,2885,826,2410,2177,3182,2695,3120,2344,421,2816,682,748,3448,3448,862,610,118,3187
27,1949,349,349,1949,2618,2302,2257,3173,2177,2177,2302,2618,2371,3180,289,289,3173,3391,3482,118,1010,615,2885,325,2175,936,325,3120,3391,181,118,2307,578,2257,2410,2885,3201,2111,3400,1010
28,3117,2410,627,1949,3482,796,936,1573,349,3143,992,3286,1949,3053,698,292,118,1648,615,3069,3180,2961,325,896,2344,1209,3173,110,2578,748,933,2960,1337,1233,1920,2242,777,2648,2494,199
29,3173,1010,1853,1853,3492,796,118,1949,2383,2398,213,3173,421,563,1920,2885,274,1411,1524,2371,3270,610,894,2175,3120,518,2436,1035,2833,2410,737,892,2912,274,3042,848,3028,2715,2290,910
30,1010,1010,1853,615,1949,1949,3482,1853,615,325,1925,894,777,2398,1006,3482,181,2371,1708,3546,1411,274,796,1920,1439,2177,3162,320,2175,3120,349,1035,936,2618,325,2717,610,349,1976,2302
31,2257,3482,2618,1010,349,2302,2177,325,289,1949,2885,118,2175,1853,213,936,3330,615,3391,274,748,2885,894,3173,1010,2410,421,2177,2302,2371,1949,349,274,2175,615,894,2816,3391,2371,2111
32,1949,1949,615,2371,748,1010,894,3296,2885,748,503,1853,325,325,2695,349,3482,2175,349,54,2302,503,2618,1006,420,3180,118,1401,2175,1439,1447,3330,1010,1039,1853,2511,3156,2778,936,596
33,2177,2177,2302,2410,2885,936,349,682,503,894,936,2302,615,503,2410,349,3482,274,3187,3514,3391,3482,2618,748,1920,3120,1006,615,3173,1350,2642,3391,2241,118,3156,213,2111,1853,3275,2432
34,1949,2302,1920,349,2111,2885,1858,2177,3173,2717,936,2618,3482,3482,777,1949,503,1010,213,615,2241,3173,615,3391,349,1387,2177,3120,1853,2371,3204,118,2432,936,3156,325,2410,2257,1768,3275
35,2885,2371,2302,1010,1853,274,3482,2111,2111,201,3391,2302,848,2885,2410,1592,2371,2410,274,615,2398,2398,1010,3117,325,1560,1768,1853,2715,3391,1592,3137,3296,1229,3541,2426,2175,893,3514,3482
36,1949,1949,3482,1853,2618,2175,2302,2371,349,1377,615,3296,325,1010,2111,349,1010,2885,2371,615,3391,274,2717,3330,2885,3498,1853,118,2344,848,3180,3482,2177,610,748,1592,118,894,2410,2257
37,2177,2885,2885,3044,2410,3173,503,2410,2302,2432,3482,2302,274,67,1920,3391,3391,503,3044,2056,936,1402,3120,2371,2111,1920,615,2177,2432,325,682,936,2241,3487,894,14,118,1560,3173,1616
38,2177,615,2302,3482,2885,274,2410,936,274,1010,936,1853,2111,503,3482,118,325,3117,118,2177,1920,2410,3173,3546,3120,2717,1853,2302,2715,682,503,2111,349,320,2432,2371,14,2885,3514,421
39,1920,3482,2177,349,349,2885,2885,2410,2410,2177,3137,2056,2241,2618,3173,777,936,3117,894,1337,1616,698,2432,3187,325,992,2642,578,3482,1920,1949,2778,796,274,2111,2302,118,1716,1708,1010
40,2177,3482,936,894,2885,349,503,593,2302,777,274,2241,349,2885,2410,406,3482,3180,1920,2095,118,936,615,14,3173,1791,3120,2111,3391,2410,2111,3299,325,2350,2432,872,213,1920,1949,213
41,615,1949,1949,615,3482,3482,3173,181,894,3117,349,503,936,3180,3180,320,2717,3173,2177,936,2302,2654,2618,627,118,349,1447,421,503,2717,320,325,748,894,325,2257,2175,118,213,992
42,894,894,615,1447,1949,420,503,2618,421,1949,118,118,3482,3173,3173,3180,213,3391,2177,615,420,3156,1006,325,3182,3031,2350,1387,309,3546,3275,2528,611,274,748,748,2695,119,3487,2452
43,936,1853,349,1949,2177,3482,3482,118,615,325,325,1010,118,615,2302,936,2410,2175,1010,3173,1949,274,2717,349,1006,3117,2111,1006,1853,2371,2885,848,274,2302,2241,3330,894,2885,2371,2717
44,615,1853,3117,615,3448,3091,3482,2890,320,274,1853,985,1350,2695,3546,1125,274,3482,2344,3117,2111,1965,3066,1321,2398,1092,2717,3487,481,2717,1092,739,1651,806,3120,3183,3308,2175,2715,2240
45,1949,1949,2175,615,3173,894,1853,748,2885,2717,1010,325,936,3180,2302,481,3330,3308,3391,2398,2618,2109,3482,3482,872,3173,503,2596,1411,3124,213,1010,421,3197,3498,1853,1883,658,353,1419
46,2257,2257,349,3482,1949,181,2618,349,2177,3173,289,1949,3482,118,325,2175,2885,325,3173,1010,2302,615,748,894,1010,274,2175,2302,2695,2618,3391,3330,936,1853,2410,1121,2371,777,118,3180
